date,income_mean,income_median,rate_of_growth_mean,rate_of_growth_median
1/1/1970,264,166,,
1/1/1974,362,227,37.12121212,36.74698795
1/1/1976,505,308,39.50276243,35.68281938
1/1/1979,678,429,34.25742574,39.28571429
1/1/1984,1098,719,61.94690265,67.5990676
1/1/1987,1083,738,-1.366120219,2.64255911
1/1/1989,1169,816,7.940904894,10.56910569
1/1/1992,1566,1077,33.96065013,31.98529412
1/1/1995,2020,1377,28.99106003,27.8551532
1/1/1997,2606,1724,29.00990099,25.19970951
1/1/1999,2472,1704,-5.141980046,-1.160092807
1/1/2002,3011,2049,21.80420712,20.24647887
1/1/2004,3249,2211,7.904350714,7.906295754
1/1/2007,3686,2552,13.4502924,15.42288557
1/1/2009,4025,2841,9.196961476,11.32445141
1/1/2012,5000,3626,24.22360248,27.6311158
1/1/2014,6141,4585,22.82,26.44787645
1/1/2016,6958,5228,13.30402215,14.02399128
1/1/2019,7901,5873,13.55274504,12.33741393
1/1/2020,7089,5209,-10.2771801,-11.3059765
1/1/2022,8479,6338,19.60784314,21.67402572
