date,income_mean,inflation_rate,income_rate_of_growth
1/1/1970,264,1.843935966,
1/1/1974,362,17.32898098,37.12121212
1/1/1976,505,2.633711507,39.50276243
1/1/1979,678,3.654467998,34.25742574
1/1/1984,1098,3.897272601,61.94690265
1/1/1987,1083,0.290007909,-1.366120219
1/1/1989,1169,2.813200897,7.940904894
1/1/1992,1566,4.7672283,33.96065013
1/1/1995,2020,3.450575096,28.99106003
1/1/1997,2606,2.662514597,29.00990099
1/1/1999,2472,2.744561302,-5.141980046
1/1/2002,3011,1.807872463,21.80420712
1/1/2004,3249,1.421271159,7.904350714
1/1/2007,3686,2.027353178,13.4502924
1/1/2009,4025,0.583308406,9.196961476
1/1/2012,5000,1.663571025,24.22360248
1/1/2014,6141,3.142990509,22.82
1/1/2016,6958,2.090566595,13.30402215
1/1/2019,7901,0.662891866,13.55274504
1/1/2020,7089,-1.138702154,-10.2771801
1/1/2022,8479,3.378698625,19.60784314
